BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.1869,1.887,5,C0001748_SEG_UNCOMP,0.07085835971101509
0.3339,2.13,6,C0001748_SEG_UNCOMP,0.06860961829375549
0.2779,1.966,1,C0001753_SEG_UNCOMP,0.16916865415197546
0.2802,2.072,2,C0001753_SEG_UNCOMP,0.16649960642803138
0.292,2.091,3,C0001753_SEG_UNCOMP,0.10056278645698175
0.3955,2.318,4,C0001753_SEG_UNCOMP,0.15526034701652852
0.2096,1.723,5,C0001753_SEG_UNCOMP,0.10671232513453947
0.3526,2.09,6,C0001753_SEG_UNCOMP,0.17149134320170317
0.1001,2.336,1,C0001758_SEG_UNCOMP,0.4544120325587676
0.1263,2.046,2,C0001758_SEG_UNCOMP,0.40775393710286756
0.2036,1.97,3,C0001758_SEG_UNCOMP,0.13762609190661818
0.0763,1.852,4,C0001758_SEG_UNCOMP,0.4407778442055157
0.2469,2.029,5,C0001758_SEG_UNCOMP,0.2510132782298611
0.2011,2.138,6,C0001758_SEG_UNCOMP,0.2553745259258337
0.2728,2.097,1,C0001763_SEG_UNCOMP,0.06294786811227066
0.1937,2.028,2,C0001763_SEG_UNCOMP,0.1316889859527108
0.269,2.156,3,C0001763_SEG_UNCOMP,0.0799322277035837
0.245,1.867,4,C0001763_SEG_UNCOMP,0.11550153422704734
0.3483,1.926,5,C0001763_SEG_UNCOMP,0.14113218530901991
0.2125,1.769,6,C0001763_SEG_UNCOMP,0.17759859891046237
0.3566,1.887,1,C0001768_SEG_UNCOMP,0.070429317458584
0.38,2.161,2,C0001768_SEG_UNCOMP,0.08424601738732043
0.3136,1.93,3,C0001768_SEG_UNCOMP,0.0644485653117166
0.2492,2.066,4,C0001768_SEG_UNCOMP,0.11966840418609541
0.283,2.133,5,C0001768_SEG_UNCOMP,0.2378043431956984
0.1782,1.972,6,C0001768_SEG_UNCOMP,0.2736870922782107
0.2673,2.18,1,C0001776_SEG_UNCOMP,0.07855494027313335
0.2868,1.819,2,C0001776_SEG_UNCOMP,0.1261120031426309
0.3051,1.95,3,C0001776_SEG_UNCOMP,0.11356306707554033
0.2658,2.084,4,C0001776_SEG_UNCOMP,0.1284914127157857
0.2828,1.835,5,C0001776_SEG_UNCOMP,0.10667851930178192
0.2897,1.913,6,C0001776_SEG_UNCOMP,0.10448210108700709
0.3402,1.627,1,C0001780_SEG_UNCOMP,0.20009094444551917
0.4263,1.626,2,C0001780_SEG_UNCOMP,0.23259615394813116
0.2587,1.439,3,C0001780_SEG_UNCOMP,0.2329001309960993
0.2819,1.961,4,C0001780_SEG_UNCOMP,0.06859934607581533
0.2338,2.084,5,C0001780_SEG_UNCOMP,0.12707229766940195
0.3218,2.039,6,C0001780_SEG_UNCOMP,0.11002757466376654
0.2242,1.917,1,C0001785_SEG_UNCOMP,0.32173891922035314
0.2177,1.798,2,C0001785_SEG_UNCOMP,0.2049064553541852
0.1465,2.093,3,C0001785_SEG_UNCOMP,0.31823042721715233
